regioncode,folder,filename,path
4060800,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4060900,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4061000,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4062100,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4062500,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4064200,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4064600,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4064700,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
41,hukenyohoukutou,41_saga_forecast.geojson,GAS\hukenyohoukutou\41_saga_forecast.geojson
410011,1saibun,41_saga_area.geojson,GAS\1saibun\41_saga_area.geojson
410011,sikutyousonnwomatometatiikitou,41_saga_region.geojson,GAS\sikutyousonnwomatometatiikitou\41_saga_region.geojson
410012,1saibun,41_saga_area.geojson,GAS\1saibun\41_saga_area.geojson
410012,sikutyousonnwomatometatiikitou,41_saga_region.geojson,GAS\sikutyousonnwomatometatiikitou\41_saga_region.geojson
410013,1saibun,41_saga_area.geojson,GAS\1saibun\41_saga_area.geojson
410013,sikutyousonnwomatometatiikitou,41_saga_region.geojson,GAS\sikutyousonnwomatometatiikitou\41_saga_region.geojson
410014,1saibun,41_saga_area.geojson,GAS\1saibun\41_saga_area.geojson
410014,sikutyousonnwomatometatiikitou,41_saga_region.geojson,GAS\sikutyousonnwomatometatiikitou\41_saga_region.geojson
410021,1saibun,41_saga_area.geojson,GAS\1saibun\41_saga_area.geojson
410021,sikutyousonnwomatometatiikitou,41_saga_region.geojson,GAS\sikutyousonnwomatometatiikitou\41_saga_region.geojson
410022,1saibun,41_saga_area.geojson,GAS\1saibun\41_saga_area.geojson
410022,sikutyousonnwomatometatiikitou,41_saga_region.geojson,GAS\sikutyousonnwomatometatiikitou\41_saga_region.geojson
4120100,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120200,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120300,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120400,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120500,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120600,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120700,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120800,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4120900,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4121000,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4132700,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4134100,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4134500,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4134600,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4138700,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4140100,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4142300,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4142400,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4142500,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
4144100,sityousontou,41_saga_region.geojson,GAS\sityousontou\41_saga_region.geojson
42,hukenyohoukutou,42_nagasaki_forecast.geojson,GAS\hukenyohoukutou\42_nagasaki_forecast.geojson
420011,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420011,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420012,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420012,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420013,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420013,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420014,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420014,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
